"Course Long Title","Minimum Credits","Maximum Credits","This course fulfills:","Course Description"
"Neuroscience","4","-","-","The course explores the means by which neurons function and how they form circuitry related to sensory input, motor control and higher cognitive functions.  A second component of the course is devoted to the role of primary literature within the field of neuroscience, including how hypotheses are formulated, tested and the results conveyed to the scientific community.  A non-lab course."
"Molecular Biology","4","-","-","This course examines molecular functions, gene expression, and regulation from an evolutionary perspective emphasizing structure-function relationships. Laboratory emphasis. Lectures and laboratory. Fulfills both (W) writing and (R) research requirement in the biology major."
"Cell Biology","4","-","-","A study of the biochemical and structural basis  of cell activity. Close attention is given to protein structure and function as well as organelle activity. The laboratory stresses the use of biochemical and cytological techniques to study living systems at the cellular and molecular levels of organization. Lectures and laboratory. Fulfills both (W) writing and (R) research requirement in the biology major."
"Ecology","4","-","-","A study of the complex patterns and processes in the natural world. We examine questions about the distribution and abundance of species and communities, the transfer of matter and energy in ecosystems, and how these relate to biodiversity. Lectures and laboratory. Laboratory includes field trips requiring hiking and directed research projects. Fulfills both (W) writing and (R) research requirement in the biology major."
"Endocrinology","4","-","-","This course will emphasize the role of hormones in maintaining homeostasis. We will examine the chemical messengers most relevant to human biology, and explore the structure, sites of synthesis and the mechanisms by which hormones exert their effects. Finally, through laboratory exercises, students will directly utilize current research methodologies to examine the role of hormones in physiologic control systems. Fulfills (W) writing requirement in the biology major. Offered alternate years."
"Internship","1","8","-","Registration in the following internships only by permission of the biology department and the cooperating institution. At least 40 interning hours are required for one credit during the semester or summer. To earn two J2 credits during January term, the internship must be full-time for a minimum of three weeks. Students keep a journal and submit reflective essays and an academic paper to earn credit.  A. Environmental Biology Internship: A work-study program in soils, conservation, forestry, fisheries, wildlife, or outdoor education. Field work to be completed in cooperation with conservation agencies, zoos, nature centers, and other environmental agencies. B. Health Career Internship: A work-study program in the various health professions in cooperation with area health care delivery institutions. C. Research Internship: A work-study program at a major research institution or in an industrial setting. This would usually include participation in a specific research project."
"Reflection Seminar","1","-","Experiential Learning (EXPL)","This course is to be taken concurrently with Bio-380, 389, or 395.  Students will reflect on the knowledge, skills, and abilities they apply and develop during the internship, research, or independent study experience.  Emphasis will be placed on how students can use their experience to 1) inform future career goals, and 2) address complex problems in the world of work and the field of biology."
"Directed Research","1","4","-","-"
"Med Tech Program","16","-","-","Consult with the Biology department about the Med Tech program."
"Senior Project","2","-","-","The senior project draws upon a discipline's methodology and provides a culminating, independent experience of the major. Because presentation and communication of finished projects are typical of a culminating experience, many senior projects will require formal writing and all senior projects will include a formal presentation."
"The Environment: A Chemical Perspective","4","-","Scientific Literacy (SCI-L)","A study of the environment with emphasis on the relationship between technology and our surroundings. The course is designed for non-science students with little or no science background. (Students who earn credit for CHEM 114 may not earn credit for CHEM 141)."
"Essentials of Chemistry","4","-","Scientific Literacy (SCI-L)","A one-semester general chemistry class for students who require or wish to take just one semester of college chemistry with a laboratory component.  Topics will be chosen from the Chemical Principles sequence (Chemistry 151-152)as well as some organic and biochemistry.  Laboratories will introduce students to basic chemistry lab skills and techniques.  This course is not intended for students going on in chemistry or biology.  Algebra skills are assumed. (Students who earn credit for CHEM 141 may not earn credit for CHEM 114, 151 or 152)."
"Chemical Principles I","4","-","Scientific Literacy (SCI-L)","The first course of a two course introductory chemistry sequence with a laboratory component. This course provides an overview of key chemistry principles and develops the necessary skills to apply chemical concepts and think critically to solve pertinent chemical problems.  (Students who earn credit for CHEM 151 may not earn credit for CHEM 114 or 141)."
"Chemical Principles II","4","-","-","General course intended primarily for students concentrating in the science area. Algebra skills are assumed. "
"Advanced Chemical Principles","4","-","-","A faster paced introduction to Chemistry than CHEM 151 and 152.  Material from both CHEM 151 and 152 will be included, but basic chemical knowledge and competence in algebra will be assumed.  Lab will emphasize an introduction to several instruments and to data-handling with spreadsheets. Prerequisite: a good high school chemistry course and testing into at least MATH 151 on mathematics placement test. In order to have a full year of chemistry as required by many professional schools students must take CHEM 202 in addition to this course. (Students who earn credit for 201 may not earn credit for CHEM 114 or 116)."
"Analytical Chemistry","4","-","-","An introduction to quantitative analysis with laboratory. The course provides a detailed examination of equilibrium chemistry and its application to gravimetry and titrimetry. The theory and practice of chromatographic separations and spectroscopic detection are introduced."
"Organic Chemistry I","4","-","-","The first of a two-course sequence that examines the structure and reactivity of compounds containing carbon. Topics include bonding, nomenclature, conformations, stereochemistry, and organic acid/base chemistry. An introduction to reaction mechanism and reaction pathways is achieved through the study of the reactivity of aliphatic hydrocarbons. Spectroscopic identification of organic molecules by IR and NMR spectroscopy is also examined in detail. Three lectures per week, one three-hour lab a week."
"Organic Chemistry II","4","-","-","The second of a two-course sequence that examines the structure and reactivity of compounds containing carbon. Topics include the reactivity of aromatic hydrocarbons and molecules containing the carbonyl functional group; parallels between the behavior of these compounds and biomolecules are illustrated. Emphasis is placed on reaction mechanisms and the design of multi-step organic syntheses. Three lectures per week, one three-hour lab per week."
"Biochemistry","4","-","-","An introduction to the chemistry of the four major classes of biological molecules:proteins, sugars, lipids, and nucleic acids.  The relationship between the functional roles of these molecules and their structure and reactivity will be examined using the chemical principles mastered in the prerequisite courses of general chemistry and two semesters of organic chemistry.  This course will fulfill the one-semester biochemistry prerequisite of typical health professional programs."
"Biophysical Chemistry","2","-","-","Biophysical Chemistry covers the physical chemistry of biological macromolecules and the experimental techniques used to study them.  The course will build on prerequisite topics in thermodynamics and kinetics; and apply these principles to the stabilities and interactions of biomolecular structures.  Topics covered will include:  the hydrodynamics of macromolecules and protein folding; mass spectrometry and proteomics; membrane dynamics and hormone-receptor binding; imaging; and DNA-protein interactions.  The course is designed for students of life sciences, but is open to those interested in related fields."
"Biochemistry Tools and Techniques","2","-","-","This course explores the chemical tools used to study biological macromolecules. This course will build on prerequisite topics in organic chemical reactions, macromolecular structure, and spectroscopy.  These topics will be interwoven and expanded upon to address the complexities of cellular signal transduction that lead to cancer development at the molecular level.  Example of topics that may be addressed in this course include: Common lab-based tools used in chemical biology, signal transduction and post-translational modifications leading to cancer development and progression, and current techniques in therapeutic development."
"Analytical Biochemistry Laboratory","2","-","-","A laboratory introduction to the isolation and analysis of biological molecules. Techniques employed will include cell culture, protein purification, use of fluorescent tags, and immunochemical methods of analysis.  Writing instructions will emphasize the preparation of figure legends and data tables."
"Spectroscopy","2","-","-","A detailed look at the instrumentation and applications of optical spectroscopy associated with chemical analyses. Topics will include molecular and atomic absorption, fluorescence, NMR, and IR spectrometries, as well as selected advanced spectroscopic techniques."
"Separations","2","-","-","A detailed look at methods of separation and electroanalytical techniques including GC, HPLC, MS, SFC, potentiometry. amperometry, and voltammetry."
"Advanced Instrumentation and Analysis","2","-","-","This laboratory course is focused on the use of chemical instrumentation and analytical techniques, highlighting applications relevant to environmental systems.  The skills emphasized in this course include: data analysis, reading and applying standard methods, and reflection on best practices."
"Physical Chemistry","4","-","-","This course is an introduction to the topics in physical chemistry, including classical thermodynamics, chemical kinetics, atomic and molecular structure and energetics, and quantum mechanics"
"Statistical Thermodynamics and Kinetics","2","-","-","A study of thermodynamics of systems in equilibrium and of change from a statistical perspective, kinetic-molecular theory of gases, and theories of reactions rates."
"Quantum Chemistry","2","-","-","In this course, quantum mechanical models will be applied to study chemical structures using specreoscopy, approximation methods, and computational chemistry."
"Instrumental Methods Laboratory","2","-","-","A laboratory introduction to various types of spectroscopy and separation techniques and how they are used in the chemistry laboratory. Techniques will include UV/VIS, IR, fluorescence, and NMR spectroscopy, and liquid and gas phase chromatography."
"Biophysical Chemistry Laboratory","2","-","-","This laboratory course is focused on the study of energetics and rates of biologically relevant chemical reactions.  This course includes an introduction to chemistry instrumentation and a student-designed research project.  Concepts such as data analysis, experimental design, and hypothesis testing are emphasized."
"Inorganic Chemistry","4","-","-","A course including molecular and solid-state bonding and structure, molecular symmetry, and coordination and organometallic chemistry."
"Solid State Chemistry","2","-","-","An examination of the synthesis and characterization of solids, especially those with crystalline structures.  Emphasis is placed upon the electrochemical, magnetic, optical, and conductive properties of these materials, as well as their applications in batteries, semiconductors, superconductors, and light-emitting devices.  Materials of interest include zeolites, metal-organic frameworks, and nanotubes.    Offered alternate years."
"Advanced Synthesis Laboratory","2","-","-","This laboratory course is focused on synthetic techniques and characterization instrumentation.  Synthesis will include inorganic compounds and materials of both historical and contemporary interest.  Additionally, the course will emphasize optimizing experimental protocols and writing procedural details and results."
"Senior Project","2","-","-","Each student will write a research paper reporting the results and significance of the project completed to satisfy the Chemistry 490L requirement. In addition, the seminar meets weekly for lectures and discussions led by students, faculty, and visiting scholars. Students who have not completed the prerequisites before the fall semester of their senior year must complete the prerequisites and register for this course in January."
"Senior Project Lab","2","-","-","A semester-long laboratory experience in which students work as a group (minimum of 6 hours per week) on a project defined by the chemistry faculty.  This course requirement for majors may be waived for students who have an approved summer research experience in chemistry or a related area, or who have done research in chemistry or a related area at Luther for the equivalent of 2 semester hours. This course is grade credit/no credit."
"Beginning Chinese","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","This course offers an introduction to speaking, reading, listening to, and writing Chinese. Through the study of the language, the student will also gain an appreciation of Chinese culture and contemporary life."
"Beginning Chinese","4","-","Global Engagement - Language (GE-L), Global Engagement (GE)","This course offers an introduction to speaking, reading, listening to, and writing Chinese. Through the study of the language, the student will also gain an appreciation of Chinese culture and contemporary life."
"Intermediate Chinese","4","-","-","A continuation of the study of Mandarin Chinese: grammar, writing, speaking, reading and listening comprehension.  Speaking proficiency will be developed through active class participation.  The use of authentic materials (video, music, texts) will enhance language skills and cultural knowledge."
"Intermediate Chinese","4","-","-","A continuation of the study of Mandarin Chinese: grammar, writing, speaking, reading and listening comprehension.  Speaking proficiency will be developed through active class participation.  The use of authentic materials (video, music, texts) will enhance language skills and cultural knowledge."
"Chinese Cinema and Chinese Modernity","4","-","Global Engagement (GE)","From the fall of the Celestial Empire to the rise of China's economy today, Chinese cinema has witnessed many social changes in the modern era. This course will focus on the interaction between Chinese cinema and the process of modernization. By examining how Chinese films dialogue with Hollywood, it will explore Chinese people's experiences of semi-colonial modernity, socialist modernity and postsocialist/global modernity. Students will watch select films made in mainland China, Hong Kong and Taiwan.  Along with reading and writing assignments, students will be required to do oral presentations.  All films have English subtitles.  All readings are in English. (same as FCUL 246 and IDS 246)"
"Classical Mythology","4","-","Textual Literacy (TXT-L)","Stories of gods, heroes and monsters were a prevalent facet of life in ancient Greece and Rome, permeating the landscape, civic and religious architecture, and cultural practice.  They have retained their power to fascinate down to our own time.  This course investigates the roles myth played in the ancient world, drawing on careful readings of the literary, historical and archaeological evidence, as well as the most prominent theoretical frameworks for interpreting myths, and some examples of modern adaptations."
"Ancient Greece","4","-","Social Systems Literacy (SOC-L)","A historical and cultural survey of ancient Greece from the Late Bronze Age to the end of the Hellenistic period in the first century BCE.  Topics will include the collapse of the Bronze Age, the rise of the polis, the Persian Wars, the Peloponnesian War, the age of Alexander the Great, and the Successor kingdoms of the Hellenistic period.  Readings will draw from ancient historical documents, Greek literature, and archaeological excavations.  Open to all students without prerequisite."
"Archaeology of Ancient Greece","4","-","Social Systems Literacy (SOC-L)","An in-depth study of the archaeology of ancient Greece, with a focus on the high points of Greek civilization and material culture during the Classical and Hellenistic periods.  We will examine archaeological methods and explore developments in urban, rural, and maritime life, funerary practices, building technology, architecture, and the arts.  Through these categories of material evidence, we will analyze the building blocks and dynamics of social structures and attempt to model and explain societal change over time.  We will also consider the nature of archaeological evidence, the relationship between classical archaeology and history, and the legacy of Athens and the classical world in modern culture.  Offered alternate years."
"Archaeology of Ancient Rome","4","-","Social Systems Literacy (SOC-L)","An in-depth study of the archaeology of ancient Rome, with a focus on the high points of Roman civilization and material culture from the Early Iron Age to the age of Constantine in the 4th century.  We will examine archaeological methods and explore developments in urban, rural, and maritime life, funerary practices, building technology, architecture, and the arts.  Through these categories of material evidence, we will analyze the building blocks and dynamics of social structures and attempt to model and explain societal change over time.  We will also consider the nature of archaeological evidence, the relationship between classical archaeology and history, and the tremendous legacy of ancient Rome in modern culture.  Offered alternate years."
"Study Abroad-Classics","4","-","-","In-depth study of selected topics in the Greco-Roman world taught during January term as part of Luther's study abroad offerings.  Topics will vary according to faculty member and location.  Possible topics may include the Ancient Empires of the Mediterranean, Age of Pericles, the World of Alexander, Caesar's Rome, and Roman Britain. Consent of instructor required."
"Ancient Science","4","-","-","This course examines the history of science and technology in the ancient world between 1200 B.C. (when Babylonian astronomical texts emerge) and A.D. 500. Scientific ideas and technological innovations will be placed in their intellectual, social, religious, economic, and political context. Emphasis is placed on the Greek and Roman period, which saw substantial developments in agriculture, astronomy, geography, mathematics, hydraulics, medicine, music, botany, zoology, and meteorology. Attention will be paid to both literary sources (read in translation) and archaeological evidence."
"Pompeii:Life and Death in a Roman City","4","-","-","This course examines the ancient city of Pompeii  in order to understand its development from a  prehistoric village to the Roman city buried by Vesuvius in A.D. 79. From its preserved loaves of  bread to houses filled with mosaics, paintings,  and art collections, Pompeii provides us with  unique and spectacularly detailed insights into social,  political, and commercial life in the ancient  Roman world. We explore the streets, homes, shops  and sanctuaries of Pompeii, along with those of  neighboring cities and settlements buried by the  eruption. Through ancient accounts of the city,  urban life and eruption, and through the things the  Pompeiians left behind, we will learn about  everyday life, and untimely death, in the ancient  world."
"Ancient Explorers and Their Maritime Worlds","4","-","Social Systems Literacy (SOC-L)","The ancient Mediterranean world witnessed the floruit of four civilizations-the Egyptians, Phoenicians, Greeks, and Romans- that based their prosperity on the sea.  Each traded far and wide, each projected their power with navies, and each accomplished exploratory expeditions both within and outside of the Mediterranean Sea.  This course investigates the modes of ancient exploration, contextualizes the ancient civilizations that took part, examines the motivations that inspired these voyages, and explores the political, social, and economic consequences of their discoveries.  We will also consider the nature of literacy, artistic, and archaeological evidence, the relationship between mythology, history, and archaeology, and the legacy of ancient exploration and maritime culture into the medieval and modern periods.  Offered alternative years."
"Interpersonal Communication","4","-","Social Systems Literacy (SOC-L)","Since communication in relationships is tied to life satisfaction and success, this course provides an introduction to person-to-person interaction in the interpersonal communication field.  Students begin to explore aspects of self and communication (e.g., culture, verbal, nonverbal) in relation to personal relationships in multiple contexts (e.g., friendships, family, romantic, workplace)."
"Public Address","4","-","Creative Literacy (CRE-L)","This course examines the principles of speech composition, organization, delivery, and critique. The primary aim of this course is to situate students as critical participants in a variety of public dialogues, dialogues that are crucial to the continued health of a democratic society.  Emphasizing critical thinking, thorough research, and rhetorical strategies, students develop their own speaking voice through a series of public performances."
"Media Literacy","4","-","Textual Literacy (TXT-L)","This course considers how and why media matters. The focus is on engaging, analyzing, and evaluating mediated texts and practices, in addition to articulating and cultivating arguments about their cultural, political, and social merits.  The course includes lectures on programs, audiences, institutions, and contexts, as well screenings and discussion."
"Superheroes as Social Justice Warriors","4","-","Social & Environmental Justice (SEJ)","This course explores the way superhero narratives contribute to an understanding of contemporary life.  Through an in-depth analysis of mediated artifacts (e.g. comic books, films, and television programs), as well as an exploration of the approaches taken by popular culture theorists and critics, students examine how dominant societal discourses, cultural myths, individual identities, and institutional ideologies are reinforced and challenged. (same as IDS 232)."
"Rhetoric of Spirituality","4","-","Religious Literacy (REL-L)","Engaging a variety of traditions (e.g. Christianity, Judaism, Islam, Buddhism, Taoism, Wicca, New Ageism), Rhetoric of Spirituality explores the relationship between communication, U.S. American popular culture, and spiritual practice.  Utilizing the fundamentals of rhetorical analysis--close textual reading, thematic interpretation, and critical judgment--the course examines the role of religion and spirituality in public dialogue.  Throughout the course, students study how popular spiritual texts like political speeches, feature films, television shows, and written works contribute to the communicative creation, maintenance, and reconceptualization of self, other, and spiritual ideologies."
"Popular Culture","4","-","-","This course examines the intersection of rhetoric, popular culture, and broader cultural contexts.  During the course of the semester, students explore how people employ popular culture texts (e.g. film, television, fashion, music, architecture, public art) as a means of constituting, negotiating, and transforming the cultures and communities in which they live."
"Small Group Communication","4","-","-","Effective group navigation is essential to success in many facets of life.  Students will be introduced to the uses and types of group and team communication, including aspects such as evolution of groups, roles, leadership, creativity, managing meetings, presentations and group problem-solving. Because of the group work nature of the course, students are very involved in designing and navigating activities, discussions, and direction of the daily and long-term aspects of the course."
"Cultivating Quality Communication","4","-","-","This is a student-driven course whereby students determine interpersonal areas (such as personal, romantic, small group, workplace, and other interpersonal communication contexts) in which they create opportunities to develop and improve quality interpersonal communication skills (for example network and job shadow, create and test a relational improvement self-disclosure guide, work in a small group to create a community building experience on campus).  Because of the experiential and out-of-class aspects of the course, students must have flexibility in their schedules during January."
"Communication and Adventure Recreation in New Zealand","4","-","Global Engagement (GE)","This course investigates the relationship between communication and adventure recreation in New Zealand.  Specific communication-related focuses on media and technology, consumer culture, globalization, and nation building will be addressed through a variety of adventure activities that highlight community sustainability, risk benefit factors, experience-based judgment, ethical behavior, and effective leadership.  Information on these subjects will be drawn from lectures, discussions, and interviews, as well as participation in adventure excursions. Ultimately, these undertakings will provide an in-depth framework on how New Zealand uses its unique places, landscapes, and resources to brand itself as a destination for outdoor exploration. (Same as LS 241)"
"Environmental Communication in Belize","4","4","Global Engagement (GE)","This course examines environmental communication and the public sphere in Belize with particular focus on the significant role of eco-adventure tourism in the country.  Topics that will be reviewed, analyzed, and critiqued include the study of environmental rhetoric and discourse, media and environmental journalism, public participation in environmental decision-making practices, varying regulatory factors, social marketing and advocacy campaigns, environmental collaboration and conflict resolution, risk communication, and representations of nature in popular culture and green marketing.  Information on these subjects will be drawn from lectures and discussions, as well as from visits with government officials, local non-governmental organizations (NGOs), eco-tourism venders, tourists, and other key stakeholders.  These undertakings will provide an understanding of how individuals, institutions, societies, and cultures craft, distribute, receive, understand, and use messages about the environment to influence attitudes and initiatives related to its use."
"Video Production","4","-","-","This course explores video production, primarily single-camera field production and editing.  The focus is on narrative as communication, message-centered content, and technical expertise. The course includes lectures on phases of production, screen composition, and color temperature, training sessions on lighting techniques, sound recording, and post-production, as well as screenings and discussion."
"Communication and Sport","4","-","-","This course draws from scholarly work in critical media studies, relational studies, and sociology to examine cultural, political, and social roles of sport in contemporary society.  The focus is on how sport, as well as mediated sport, can be approached critically and read in different ways.  The course includes lectures on nationalism, commodification, and identity, as well as screenings and discussion."
"Workplace Relationships","4","-","-","There are few contexts that involve more time than that of our workplaces; thus, understanding workplace relationships is essential in navigating quality experiences both professionally and personally.  Despite the ubiquity of workplace relationships, they are nuanced and may be challenging.  In this course, students will explore communication aspects (e.g., influence, management, gossip, affection, perceptions) in the many relationships that may be encountered (e.g., peer, subordinate, superior, customer/client, romantic, friendship, bullying)."
"Romantic Relationships","4","-","-","Students will challenge notions of romantic relationships to better understand societal implications and actions regarding communicative aspects that make them beneficial, disadvantageous, bright, dark, and otherwise further complex and nuanced.  Engaging in multiple avenues for exploration, students will consider communication and aspects such as courtship, maintenance, technology, termination, affection, intimacy, abuse, aggression, and more."
"Family Communication","4","-","-","In this course, students will examine the role of communication in families, how families shape us as individuals, and how the context of family functions in larger society. Through reading scholarship on family communication, discussion, projects and presentations, we will address questions such as how definitions of family have changed overtime, how individuals define self in relation to family members, how challenges in families are managed, how differences in family forms influence family function, and how communication patterns affect how we interact with and understand each other. Ultimately, this course investigates individual human behavior and human interactions within the societal context of the family. "
"Rhetoric of Identity and Difference","4","-","-","This course examines the role of rhetoric in such significant identity categories as race, ethnicity, sexuality, gender, nationality, and ability.  Focusing on historical and contemporary political discourse, protest movements, and media representations, students examine how people navigate individual, cultural, and national identities as they strive for social justice."
"Masculinity in Film","4","-","-","This course takes a feminist perspective to analyze portrayals of sex and gender in film with a particular emphasis on representation of men and masculinity. The focus is on how films construct different notions of gender, how films can be read in different ways, and to what social uses film portrayals may be put.  The course includes lectures on film criticism, gender theory, and theories of representation, as well as screenings and discussion. (Same as IDS 335)"
"Argumentation and Eloquence","4","-","-","The course takes a rhetorical perspective on argument. Basic principles of argumentation are explored: problem solving through evidence, reasoning, and persuasion. Analysis and criticism of various types of contemporary speech-making based on principles, models, and theories of argumentation."
"Rhetorical Criticism","4","-","-","This course examines key concepts in the area of rhetorical theory and methods. Grounded in classical and contemporary texts, students explore the function of rhetoric in relation to knowledge, community, governance, and power.  Throughout the course, particular attention is given to the way specific methodological approaches help explore the relationship between rhetoric and social transformation."
"Documentary Storytelling","4","-","-","This course builds on video production skills developed in COMS-258.  The focus is on researching, scripting, planning, producing, and editing short subject documentary films.  The course includes lectures on the history of the genre, exemplar filmmakers, and dramatic structure, training sessions on shooting, interviewing, and advanced editing, as well as screenings and discussion."
"Relational Theories and Methods","4","-","-","This course is a combination of studying advanced relational communication theories and learning and implementing social scientific research methods (such as interviewing and survey data collection and qualitative and quantitative data analysis).  By reading and researching relationship theory and engaging in collecting and analyzing data, students will focus on the connections between theories of relationships while learning research methodologies to understand the complexities of communication in human relationships."
"Evidence-Based Practice","2","-","-","This course will explore how and why helping professions are increasingly driven by demands for accountability through evidence-based practices, and will help students prepare for future workplace expectations.  Students will investigate methods of generating, applying and evaluating evidence-based practices, and develop knowledge and skills through state-certified formal training in essential areas of practice (such as Court-Appointed Special Advocate, Overdose Education and Naloxone Distribution, Sexual Assault and Domestic Violence Advocate, Mandatory Reporter, and HIPAA).  This course will review evidence supporting the training and biopsychosocial factors contributing to the problems addressed (e.g., substance abuse, child abuse, and domestic violence, epidemics).  Students will select training(s) from a pre-approved list and will process their experiences through concurrent class seminars.  Due to the logistical differences in training formats (e.g., in-person on campus, synchronous and asynchronous online formats, community-based training, etc.), students should expect to spend between 10-15 hours in formal training, approximately half of which will be in lieu of class time.  While completion of the self-selected training course(s) is expected, there may be occasions for approved exceptions due to individual student response, or unanticipated external factors.  Course grades will reflect progress in achieving the stated learning objectives."
"Fundamentals of Web Programming","2","4","-","This course focuses on learning the basic building blocks of web programming. The student will be introduced to three languages used for web page design and implementation: HTML, CSS, and Javascript. To develop a deeper understanding of how websites work together, the HTTP protocol will be introduced along with basic AJAX programming. The 4 credit option is available when offered during the summer. Recommended for students with an interest in computer science but no prior experience."
"Data Modeling and Querying","2","-","-","The course focuses on constructing relational models of data, the relational algebra, querying relational databases using SQL. Students will become familiar with a popular open source data management system such as MySQL or Postgresql."
"Introduction to Computer Science","4","-","Data Literacy (DTA-L)","An introduction to computer science emphasizing problem solving, data organization, and data transformation using quantitative and algorithmic methods.  Problems are selected from a variety of areas of human knowledge.  Students will learn to model, analyze, and process data generating information with algorithms implemented using a general-purpose programming language.  Students will be introduced to object oriented programming."
"Algorithms and Data Structures","4","-","-","A continuation of the ideas presented in CS 150 with particular emphasis on data structures, algorithms, and analysis.  Implementation of abstract data types such as stacks, queues, trees, and graphs as well as important recursive and non-recursive algorithms. Analysis of sorting and searching algorithms."
"Computer Architecture and Organization","4","-","-","An introduction to fundamental ideas of computer architecture and organization, including numbering systems, data representation, digital logic, circuits, CPU architecture, assembly language, memory design, bus organization, input/output processing, and interrupts."
"Object-Oriented Programming With Java","4","-","-","Introduction to Java and development in an object-oriented programming language.  Topics include project setup and organization, packages, classes, object creation, inheritance, interfaces,  polymorphism and the use of built-in types and the Java class library.  Considerable time is dedicated to learning incremental programming, debugging strategies, testing strategies, interface documentation, preconditions, postconditions, boundary case testing, unit testing of individual functions, test stubs and test harnesses.  "
"Object-Oriented Programming With C++","2","-","-","Introduction to C and C++ and development in an object-oriented programming language.  Topics include C++ organization of classes and function prototypes, header files, class declaration and implementation.  Other topics include inheritance, polymorphism, the use of copy constructors, destructors, streams, and operator overloading."
"Computational Models","4","-","-","In this course we examine mathematical structures that are relevant to understanding both theoretical as well as practical ideas in computer science.  Topics include:  logic, sets, graph theory, regular languages, deterministic and nondeterministic finite automata, regular grammars, regular expressions, induction and recursion, pushdown automata, turing machines, and computability.  "
"Writing in the Major Lab","1","-","-","A companion to any of CS 330, 352, 353, 360, 370, 430, 440, 450, DS 320, or 420. Students wishing to delve deeper into a subject in one of the companion courses may register for this lab with consent of instructor.  A student taking this lab will be required to write a technical paper in the style typical of a computer science journal or conference proceedings, on a topic agreed to by the companion course instructor.  Feedback will be provided on writing style and content with the paper going through multiple revisions. Students receiving a C or better on their paper will fulfill the writing in the major requirement. Students may register for this as a seven week lab anytime prior to the middle of the semester in which the companion course is taught. Requires consent of instructor."
"Internet Programming","4","-","-","This course covers the three-tier architecture of Internet applications, including user interface, server-side logic, and data storage.  Modern programming languages, libraries, frameworks, and application programming interfaces are used to develop and deploy web applications.  Current development principles and practices are discussed and used in this project driven course."
"Embedded Android Programming","4","-","-","Study Android development with attention to HCI. Taught alternating years."
"Embedded iOS Programming","4","-","-","Study iOS development with attention to HCI. Taught alternating years."
"Advanced Algorithms and Data Structures","4","-","-","Development of advanced data structures, parallel algorithms, and advanced analysis of algorithms.  Included topics are B-trees, Tries, B+ and B* trees, hashing algorithms and other structures for dealing with large data sets.  Algorithms for data set manipulation including parallel algorithms for processing data sets. "
"Programming Languages","4","-","-","A comparison of the structure, design, and applications of various programming languages.  Topics include history, language definition, formal models of syntax and semantics, data types and structures, data abstraction, control structures, data flow, and runtime considerations.  Languages will be discussed in a logical organization based upon the major paradigms including imperative, logic, functional, and object oriented.  Examples from classic and contemporary languages."
"Understanding Entrepreneurship in Silicon Valley","4","-","-","Internet technology has fundamentally changed marketing, communications and the operations of every business in our society.  Silicon Valley is home to the people, places and power sources that drive this machine.  Students in this J-Term trip will gain both theoretical and tactical understanding of business strategies utilized in the Valley and also have the opportunity to speak with industry leaders and the companies they represent.  We will visit companies and key people including entrepreneurs, venture capitalists, engineers and marketing professionals. (Same as MGT 385)"
"The Digital Transformation of Central Europe","4","-","-","Over the last 25 years, Central Europe became an  important IT hub, hosting many startups and  multinational corporations.  Students in this  course will travel to Germany, Czech Republic,  Hungary, and Bulgaria to visit companies and  universities to gain an understanding of the  ingredients and environment in which this  transformation is occurring.  We will explore  challenges and opportunities of doing business in  a growing economy, study markets served by the  successful companies, and compare Computer  Science curriculum taught in the U.S. and at  Luther to that taught in these European  countries."
"Computer Networks","4","-","-","Concepts, principles, protocols, and applications of computer networks with a focus on the Internet, including application layer protocols such as http, smtp; socket programming and peer-to-peer networks; transport-layer protocols such as TCP, UDP and congestion control; network layer algorithms for routing and broadcast, and multicast; link-level protocols for local area networks such as Ethernet and WIFI; and issues in network privacy and security."
"Database Management Systems","4","-","-","This course takes a bottom-up approach to understanding a complex software system.  The course examines the implementation of a database management system.  Topics include disk and file management, transaction processing, meta-data management, query planning and implementation, parsing queries, indexing, query optimization, and B-trees."
"Operating Systems and Architecture","4","-","-","A study of computer architecture and operating systems structures and algorithms emphasizing multiple-user systems.  Topics include binary number systems, digital logic circuits, machine architecture and assembly language, process management, CPU scheduling, concurrency and multi-tasking computing concepts including communication and synchronization issues, storage management, and protection and security."
"Information Assurance and Security","4","-","-","This course covers the fundamental concepts, principles, and best practices of information security with a holistic view and applied approach. Topics include: cryptography, cryptanalysis, authentication, authorization, security protocols, software vulnerabilities, and professional ethics."
"Senior Project","2","-","-","A continuation of CS 490."
"Accelerated Senior Project","4","-","-","This semester-long course has the same requirements and expectations as a combination of CS 490 and CS 491.  Students work at an accelerated pace from conceptualization and design through prototyping, implementation, and delivery of a software application or research project.  Project ideas and teams must be pre-approved by CS faculty in the prior semester.  Applications for this course must include a 5 page document outlining the project idea and technologies that will be used during the semester."
"Performance Practicum","0","-","-","An intensive experiential research ensemble devoted to creating, developing, performing and producing a faculty-directed dance performance.  Students in this course will be involved in research and theoretical discussion supporting active involvement in a collaborative process of performance and production.  Course may be repeated an unlimited number of times (including more than one in a semester).  Enrollment by audition or consent of instructor, will be limited to performing members of the ensemble for the production."
